original_word,score
worst,-0.800000011920929
of,0.0
watchable...a,0.3000000119209289
me,0.2000000029802322
was,-0.2000000029802322
ready,0.4000000059604645
believe,0.1000000014901161
have,0.1000000014901161
untalented.,0.3000000119209289
doesn't,-0.699999988079071
thing,0.0
a,0.1000000014901161
it,0.2000000029802322
The,0.2000000029802322
director,-0.1000000014901161
finally,0.699999988079071
now,0.0
been,0.0
taken,0.0
this,0.1000000014901161
/>Anything,0.3000000119209289
completely,0.0
I,0.1000000014901161
point.,0.4000000059604645
to,0.0
<br,0.6000000238418579
more,0.1000000014901161
saw,0.0
and,0.0
only,0.0
refuse,-0.800000011920929
/><br,0.4000000059604645
asks,-0.2000000029802322
little,-0.3000000119209289
what,0.0
brilliant,0.8999999761581421
want,0.1000000014901161
so,0.0
else,-0.2000000029802322
even.,-0.2000000029802322
effort,0.1000000014901161
that,0.1000000014901161
think,0.1000000014901161
must,0.800000011920929
garbage,-0.8999999761581421
regarding,0.0
would,0.1000000014901161
ridiculously,-0.4000000059604645
just,0.0
intolerable,-0.800000011920929
lot,0.2000000029802322
make,0.0
/>Why,-0.3000000119209289
can,-0.2000000029802322
movie,0.1000000014901161
/>I,0.2000000029802322
utter,-0.699999988079071
called.<br,0.6000000238418579
is,0.0
the,0.0
/>It,0.3000000119209289
anyone,0.1000000014901161
waste?,-0.699999988079071
could,-0.1000000014901161
positive,0.800000011920929
ever,0.0
if,0.0
good,0.800000011920929
produce,0.0
be,0.0
/>Making,0.2000000029802322
such,0.0
sense.,0.0
piece,0.0
answer,0.0
kind,0.800000011920929
give,0.0
an,0.2000000029802322
scary.,-0.6000000238418579
far,0.1000000014901161
production.,0.0
"sickening,",-0.800000011920929
hideous,-0.8999999761581421
"unfriendly,",-0.800000011920929
it's,0.1000000014901161
weird.,-0.4000000059604645
expect.,0.0
one,0.1000000014901161
And,-0.1000000014901161
not,-0.6000000238418579
trip,0.1000000014901161
blend,0.0
source,0.1000000014901161
French,0.0
After,-0.1000000014901161
"fun,",0.8999999761581421
Disney,0.3000000119209289
"inhuman,",0.1000000014901161
"production,",0.0
"/>Interestingly,",0.3000000119209289
live,0.6000000238418579
"weird,",-0.3000000119209289
animation.,0.0
There,0.2000000029802322
even,-0.1000000014901161
Cosgrove-Hall,0.3000000119209289
creepy,-0.8999999761581421
movie.,0.0
re-enforces,0.3000000119209289
absolutely,0.1000000014901161
with,0.0
no,-0.5
reason,-0.3000000119209289
"such,",0.0
did,0.0
apt,0.5
might,0.0
stop-motion.<br,0.4000000059604645
unsightly,-0.800000011920929
as,0.0
material.,0.0
stereotype,-0.800000011920929
nightmares,-0.8999999761581421
things,0.0
"all,",0.3000000119209289
"cold,",-0.5
attractive,0.699999988079071
but,-0.1000000014901161
concept,0.2000000029802322
watch,0.2000000029802322
As,0.0
job,0.4000000059604645
well,0.5
ugly,-0.800000011920929
It's,0.0
headaches.,-0.800000011920929
fantastic,0.8999999761581421
stop-motion,0.0
weird,-0.4000000059604645
optimistic,0.699999988079071
same,-0.1000000014901161
action,0.0
felt,0.1000000014901161
/>Park,0.1000000014901161
verbal,0.0
where,0.0
most.,0.1000000014901161
"humor,",0.800000011920929
story,0.0
between,-0.1000000014901161
subdued,-0.1000000014901161
Wook's,0.1000000014901161
unwaveringly,0.3000000119209289
will,0.3000000119209289
9/10,0.8999999761581421
found,0.4000000059604645
/>The,0.1000000014901161
many,0.1000000014901161
"times,",-0.2000000029802322
cinematography,0.1000000014901161
interesting,0.8999999761581421
At,0.0
"lie,",-0.800000011920929
/>But,0.0
In,0.0
"vision,",0.0
gliding,0.3000000119209289
exquisite,0.8999999761581421
several,0.0
enough.<br,0.6000000238418579
recommend,0.8999999761581421
beautifully,0.8999999761581421
universe.,0.1000000014901161
place,0.3000000119209289
camera,-0.1000000014901161
work,0.1000000014901161
far-,0.0
worked,0.5
photograph.,0.1000000014901161
/>For,0.2000000029802322
film,0.1000000014901161
almost,-0.1000000014901161
humor,0.699999988079071
fetched,0.0
crafted.,0.5
disappointed,-0.800000011920929
at,0.0
nature),0.6000000238418579
color,0.1000000014901161
depth,0.1000000014901161
characters,0.0
for,0.2000000029802322
clunky.,-0.800000011920929
call,0.0
too,0.0
had,0.0
Thirst<br,0.6000000238418579
ran,0.0
imperfect.,0.2000000029802322
visual,0.3000000119209289
Sometimes,-0.2000000029802322
goings,0.3000000119209289
story.,0.0
outstanding,0.8999999761581421
He,0.0
out,-0.1000000014901161
stands,0.2000000029802322
long.<br,0.0
flow,0.1000000014901161
"frozen,",-0.5
his,0.0
you,0.2000000029802322
direction,0.0
through,-0.1000000014901161
on,0.0
picture,0.2000000029802322
excellent.,0.8999999761581421
were,-0.1000000014901161
(of,0.0
use,0.0
end,-0.1000000014901161
flawless.<br,0.6000000238418579
touches,0.1000000014901161
fantastic.,0.8999999761581421
"day,",0.0
"film,",0.1000000014901161
in,0.0
its,0.2000000029802322
still,-0.2000000029802322
"flourish,",0.4000000059604645
another,-0.1000000014901161
"Overall,",0.2000000029802322
yourself,-0.1000000014901161
"narrative,",0.0
Chan,0.3000000119209289
any,0.1000000014901161
lacked,-0.699999988079071
scene,0.3000000119209289
believing,0.3000000119209289
above,0.3000000119209289
suited,0.4000000059604645
acting,0.0
frame,-0.1000000014901161
added,0.0
dark,-0.3000000119209289
whole.<br,0.6000000238418579
instances,-0.2000000029802322
though,-0.2000000029802322
"me,",0.1000000014901161
done,0.0
leads,0.1000000014901161
original,0.6000000238418579
.,0.0
credits,0.1000000014901161
Having,0.0
how,0.0
plot,0.0
emotions,0.0
first,0.1000000014901161
closing,-0.5
catches,0.0
